project_id,ucsd_or_industry,mentor_name
180,Deloitte,Emma Harvey
180,Deloitte,Meira Gilbert
181,UCSD,David Danks
181,Deloitte,Rasmus Nielsen
181,Deloitte,Jeffry Liu
181,Deloitte,Nandita Rahman
181,Deloitte,Aritra Nath
181,Deloitte,Emma Harvey
181,Deloitte,Meira Gilbert
182,UCSD,Jelena Bradic
183,UCSD,Babak Salimi
184,UCSD,Yuhua Zhu
185,UCSD,Justin Eldridge
185,DataStax,Jonathan Shook
185,DataStax,Derrick Cosmas
186,UCSD,Justin Eldridge
186,DataStax,Jonathan Shook
186,DataStax,Derrick Cosmas
187,UCSD,Justin Eldridge
187,DataStax,Jonathan Shook
187,DataStax,Derrick Cosmas
188,UCSD,Berk Ustun
188,Petal,Brian Duke
189,UCSD,Berk Ustun
189,Petal,Brian Duke
190,UCSD,Stuart Geiger
191,UCSD,Stuart Geiger
192,UCSD,Molly Roberts
193,UCSD,Molly Roberts
194,UCSD,Jingbo Shang
195,UCSD,Jingbo Shang
196,UCSD,Jingbo Shang
197,UCSD,Teresa Rexin
197,Intel,Jamel Tayeb
197,Intel,Bijan Arbab
198,UCSD,Teresa Rexin
198,Intel,Jamel Tayeb
198,Intel,Bijan Arbab
199,UCSD,Teresa Rexin
199,Intel,Jamel Tayeb
199,Intel,Bijan Arbab
200,UCSD,Soohyun Liao
200,Flock Freight,Matt Stirling
201,UCSD,Soohyun Liao
201,Flock Freight,Matt Stirling
202,UCSD,Rajesh Gupta
203,UCSD,Armin Schwartzman
204,UCSD,Armin Schwartzman
205,UCSD,David Fenning
206,UCSD,Haojian Jin
207,UCSD,Haojian Jin
208,UCSD,Alex Cloninger
208,UCSD,Yoav Freund
209,UCSD,Alex Cloninger
209,UCSD,Yoav Freund
210,UCSD,Alex Cloninger
210,UCSD,Yoav Freund
